Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,School Number,School or Citywide Complaint,pctFemale,pctMale,pctPacIslander,pctLatino,pctAmericanIndian,pctAsian,pctWhite,pctBlack,pctOther,pctEthnicTotal,pctPermResidentAlien,pctUSCitizen,pctRecPublicAssistance
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11377,Woodside,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11104,Sunnyside,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10457,BRONX,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10029,NEW YORK,Unspecified,,Q2_pctFemale,Q2_pctMale,,Q1_pctLatino,,,,,Q1_pctOther,Q3_pctEthnicTotal,,Q3_pctUSCitizen,Q2_pctRecPublicAssistance
Department of Housing Preservation and Development,NONCONST,RUBBISH,RESIDENTIAL BUILDING,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
Department of Housing Preservation and Development,NONCONST,RUBBISH,RESIDENTIAL BUILDING,10305,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11361,BAYSIDE,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11355,FLUSHING,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11356,COLLEGE POINT,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10310,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,STATEN ISLAND,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,BROOKLYN,Unspecified,,,,,,,,,,,,,,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,NEW YORK,Unspecified,,,Q3_pctMale,,,,Q3_pctAsian,,,,Q3_pctEthnicTotal,,Q3_pctUSCitizen,
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,BROOKLYN,Unspecified,,Q3_pctFemale,Q1_pctMale,,,,Q1_pctAsian,Q3_pctWhite,Q1_pctBlack,Q1_pctOther,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
Department of Transportation,Street Light Condition,Street Light Out,,,,Unspecified,,,,,,,,,,,,,,
Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11428,QUEENS VILLAGE,Unspecified,,,,,,,,,,,,,,
Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,10465,BRONX,Unspecified,,Q3_pctFemale,Q1_pctMale,,Q2_pctLatino,,Q1_pctAsian,Q1_pctWhite,Q1_pctBlack,,Q3_pctEthnicTotal,Q1_pctPermResidentAlien,Q3_pctUSCitizen,Q1_pctRecPublicAssistance
